code,name,colore
E01,Birthday,
E02,Anniversary,
E03,Wedding,
E04,Baby Events,
E05,House/Family,
E06,Parties,
E07,Festivals,
E08,Shows/Entertainment,
E09,Meetups,
E10,Meetings,
E11,Conferences,
E12,Workshops & Training,
E13,Launch Events,
E14,Company Culture,
E15,School/College,
E16,Academic,
E17,Courses & Seminars,
E18,Religious Ceremonies,
E19,Traditional,
E20,Exhibitions,
E21,Trade & Caree,
E22,Charity,
E23,Tournaments,
E24,Fitness,
E25,Webinars,
E26,Online Meetups,
E27,Live Streaming,
E28,Others,